Score,Coalition,HAC,AOSIS,FFTreaty
2601.5729060267654,"['Mauritius', 'Korea, Republic of', 'Egypt', 'Greece', 'Ireland', 'Georgia']",False,True,False
2601.343474249856,"['Sri Lanka', 'Papua New Guinea', ""Korea, Democratic People's Republic"", 'Algeria', 'Greece', 'Ireland']",False,True,False
2601.343474249856,"['Papua New Guinea', 'Sri Lanka', ""Korea, Democratic People's Republic"", 'Algeria', 'Greece', 'Ireland']",False,True,False
2601.343474249856,"['Algeria', 'Sri Lanka', 'Papua New Guinea', ""Korea, Democratic People's Republic"", 'Greece', 'Ireland']",False,True,False
2588.9701239775677,"['Georgia', 'Maldives', 'Korea, Republic of', 'Ireland', 'Greece', 'Tunisia']",True,True,False
2581.439260420836,"['Bahamas', 'Korea, Republic of', 'Ireland', 'Greece', 'Tunisia', 'Georgia']",False,True,False
2572.0377334432583,"['Pakistan', 'New Zealand', ""Korea, Democratic People's Republic"", 'Tunisia', 'Ireland', 'Greece']",False,False,True
2565.420722262432,"['Antigua and Barbuda', 'Korea, Republic of', 'Ireland', 'Greece', 'Tunisia', 'Georgia']",False,True,False
2563.940778148147,"[""Korea, Democratic People's Republic"", 'Bangladesh', 'Papua New Guinea', 'Algeria', 'Greece', 'Ireland']",False,True,False
2561.0448058072006,"['Afghanistan', 'Sri Lanka', 'Papua New Guinea', 'Algeria', 'Ireland', 'Greece']",False,True,False
2559.470510374652,"['Jamaica', 'Paraguay', 'Uruguay', 'Tunisia', 'Ireland', 'Greece']",False,True,False
2548.972794664196,"['Singapore', 'Korea, Republic of', 'Greece', 'Ireland', 'Tunisia', 'Georgia']",False,True,False
2546.3947888173866,"['Barbados', 'Korea, Republic of', 'Morocco', 'Ireland', 'Greece', 'Georgia']",False,True,False
2540.8207896876206,"['Sao Tome and Principe', 'Sri Lanka', 'Papua New Guinea', 'Algeria', 'Iceland', 'Greece']",False,True,False
2519.050902034259,"['Israel', 'Sri Lanka', 'Papua New Guinea', 'Paraguay', 'Greece', 'Ireland']",False,True,False
2514.4966401327606,"['Azerbaijan', 'Bahamas', 'Ireland', 'Greece', 'Korea, Republic of', 'Tunisia']",False,True,False
2514.024276464351,"['Bangladesh', 'Afghanistan', 'Papua New Guinea', 'Algeria', 'Ireland', 'Greece']",False,True,False
2509.971516274896,"['Belize', 'Korea, Republic of', 'Greece', 'Ireland', 'Tunisia', 'Georgia']",False,True,False
2498.405875000579,"['Trinidad and Tobago', 'Korea, Republic of', 'Egypt', 'Greece', 'Ireland', 'Georgia']",False,True,False
2493.596323911617,"['Solomon Islands', 'Papua New Guinea', 'Sri Lanka', 'Algeria', 'Greece', 'Ireland']",False,True,True
2490.905196886504,"['Cuba', 'Uruguay', 'Paraguay', 'Tunisia', 'Ireland', 'Greece']",False,True,False
2490.132702816446,"['Qatar', 'Papua New Guinea', ""Korea, Democratic People's Republic"", 'Algeria', 'Greece', 'Ireland']",False,True,False
2479.8207194767465,"['Norway', 'Bulgaria', 'Korea, Republic of', 'Sri Lanka', 'Tunisia', 'Georgia']",True,False,False
2476.830569034155,"['Swaziland', 'Togo', 'Samoa', 'Tunisia', 'Ireland', 'Greece']",False,True,True
2471.64316462237,"['Jordan', 'Sudan', 'Samoa', 'Tunisia', 'Ireland', 'Greece']",False,True,True
2470.885137551447,"['Maldives', 'Afghanistan', 'Papua New Guinea', 'Algeria', 'Greece', 'Ireland']",True,True,False
2467.40204702575,"['Guinea-Bissau', 'Togo', 'Samoa', 'Ireland', 'Tunisia', 'Greece']",False,True,True
2461.7428541587656,"['Tonga', 'Samoa', ""Korea, Democratic People's Republic"", 'Tunisia', 'Ireland', 'Greece']",False,True,True
2460.8775963328726,"['Mauritania', 'Guinea-Bissau', 'Samoa', 'Tunisia', 'Ireland', 'Greece']",False,True,True
2456.770215176228,"['Chile', 'Pakistan', 'Paraguay', 'Tunisia', 'Ireland', 'Greece']",True,False,True
2453.3541976389483,"['Togo', 'Mali', 'Samoa', 'Tunisia', 'Ireland', 'Greece']",False,True,True
2453.3541976389483,"['Mali', 'Togo', 'Samoa', 'Tunisia', 'Ireland', 'Greece']",False,True,True
2452.641673452624,"['Bulgaria', 'Sweden', 'Korea, Republic of', 'Pakistan', 'Tunisia', ""Korea, Democratic People's Republic""]",False,False,True
2452.6416734526224,"['Sweden', 'Bulgaria', 'Korea, Republic of', 'Pakistan', 'Tunisia', ""Korea, Democratic People's Republic""]",False,False,True
2445.432847875948,"['Bolivia', 'Togo', 'Samoa', 'Tunisia', 'Ireland', 'Greece']",False,True,True
2438.306871994364,"['Rwanda', 'Togo', 'Samoa', 'Tunisia', 'Ireland', 'Greece']",False,True,True
2438.086488574917,"['Kuwait', 'Papua New Guinea', ""Korea, Democratic People's Republic"", 'Algeria', 'Greece', 'Ireland']",False,True,False
2436.315015112027,"['Congo, Democratic Republic of', 'Cameroon', 'Papua New Guinea', 'Tunisia', 'Ireland', 'Greece']",False,True,False
2436.315015112027,"['Cameroon', 'Congo, Democratic Republic of', 'Papua New Guinea', 'Tunisia', 'Ireland', 'Greece']",False,True,False
2428.1437014459493,"['Mongolia', 'Swaziland', 'Samoa', 'Tunisia', 'Ireland', 'Greece']",False,True,True
