name,region,sub-region,
Afghanistan,Asia,Southern Asia,
Aland Islands,Europe,Northern Europe,
Albania,Europe,Southern Europe,
Algeria,Africa,Northern Africa,
American Samoa,Oceania,Polynesia,
Andorra,Europe,Southern Europe,
Angola,Africa,Middle Africa,
Anguilla,Americas,Caribbean,
Antarctica,Antarctica,Antarctica,
Antigua and Barbuda,Americas,Caribbean,
Argentina,Americas,South America,
Armenia,Asia,Western Asia,
Aruba,Americas,Caribbean,
Australia,Oceania,Australia and New Zealand,
Austria,Europe,Western Europe,
Azerbaijan,Asia,Western Asia,
Bahamas,Americas,Caribbean,
Bahrain,Asia,Western Asia,
Bangladesh,Asia,Southern Asia,
Barbados,Americas,Caribbean,
Belarus,Europe,Eastern Europe,
Belgium,Europe,Western Europe,
Belize,Americas,Central America,
Benin,Africa,Western Africa,
Bermuda,Americas,Northern America,
Bhutan,Asia,Southern Asia,
Bolivia,Americas,South America,
Bonaire,Americas,Caribbean,
Bosnia and Herzegovina,Europe,Southern Europe,
Botswana,Africa,Southern Africa,
Bouvet Island,Americas,South America,
Brazil,Americas,South America,
British Indian Ocean Territory,Africa,Eastern Africa,
British Virgin Islands,Americas,Caribbean,
Brunei Darussalam,Asia,South-eastern Asia,
Bulgaria,Europe,Eastern Europe,
Burkina Faso,Africa,Western Africa,
Burundi,Africa,Eastern Africa,
Cambodia,Asia,South-eastern Asia,
Cameroon,Africa,Middle Africa,
Canada,Americas,Northern America,
Cape Verde,Africa,Western Africa,
Cayman Islands,Americas,Caribbean,
Central African Republic,Africa,Middle Africa,
Chad,Africa,Middle Africa,
Chile,Americas,South America,
China,Asia,Eastern Asia,
Christmas Island,Oceania,Australia and New Zealand,
Cocos Islands,Oceania,Australia and New Zealand,
Colombia,Americas,South America,
Comoros,Africa,Eastern Africa,
Cook Islands,Oceania,Polynesia,
Costa Rica,Americas,Central America,
Cote d'Ivoire,Africa,Western Africa,
Croatia,Europe,Southern Europe,
Cuba,Americas,Caribbean,
Curacao,Americas,Caribbean,Western Africa
Cyprus,Asia,Western Asia,
Czechia,Europe,Eastern Europe,
Democratic People's Republic of Korea,Asia,Eastern Asia,
Democratic Republic of the Congo,Africa,Middle Africa,
Denmark,Europe,Northern Europe,
Djibouti,Africa,Eastern Africa,
Dominican Republic,Americas,Caribbean,
Ecuador,Americas,South America,
Egypt,Africa,Northern Africa,
El Salvador,Americas,Central America,
Equatorial Guinea,Africa,Middle Africa,
Eritrea,Africa,Eastern Africa,
Estonia,Europe,Northern Europe,
Eswatini,Africa,Southern Africa,
Ethiopia,Africa,Eastern Africa,
Falkland Islands,Americas,South America,
Faroe Islands,Europe,Northern Europe,
Fiji,Oceania,Melanesia,
Finland,Europe,Northern Europe,
France,Europe,Western Europe,
French Guiana,Americas,South America,
French Polynesia,Oceania,Polynesia,
French Southern Territories,Africa,Eastern Africa,
Gabon,Africa,Middle Africa,
Gambia,Africa,Western Africa,
Georgia,Asia,Western Asia,
Germany,Europe,Western Europe,
Ghana,Africa,Western Africa,
Gibraltar,Europe,Southern Europe,
Greece,Europe,Southern Europe,
Greenland,Americas,Northern America,
Grenada,Americas,Caribbean,
Guadeloupe,Americas,Caribbean,
Guam,Oceania,Micronesia,
Guatemala,Americas,Central America,
Guernsey,Europe,Northern Europe,
Guinea,Africa,Western Africa,
Guinea-Bissau,Africa,Western Africa,
Guyana,Americas,South America,
Haiti,Americas,Caribbean,
Heard Island and McDonald Islands,Oceania,Australia and New Zealand,
Holy See,Europe,Southern Europe,
Honduras,Americas,Central America,
Hong Kong,Asia,Eastern Asia,
Hungary,Europe,Eastern Europe,
Iceland,Europe,Northern Europe,
India,Asia,Southern Asia,
Indonesia,Asia,South-eastern Asia,
Iran,Asia,Southern Asia,
Iraq,Asia,Western Asia,
Ireland,Europe,Northern Europe,
Isle of Man,Europe,Northern Europe,
Israel,Asia,Western Asia,
Italy,Europe,Southern Europe,
Jamaica,Americas,Caribbean,
Japan,Asia,Eastern Asia,
Jersey,Europe,Northern Europe,
Jordan,Asia,Western Asia,
Kazakhstan,Asia,Central Asia,
Kenya,Africa,Eastern Africa,
Kiribati,Oceania,Micronesia,
Kuwait,Asia,Western Asia,
Kyrgyzstan,Asia,Central Asia,
Laos,Asia,South-eastern Asia,
Latvia,Europe,Northern Europe,
Lebanon,Asia,Western Asia,
Lesotho,Africa,Southern Africa,Eastern Asia
Liberia,Africa,Western Africa,Eastern Asia
Libya,Africa,Northern Africa,
Liechtenstein,Europe,Western Europe,
Lithuania,Europe,Northern Europe,
Luxembourg,Europe,Western Europe,
Macao,Asia,Eastern Asia,
Madagascar,Africa,Eastern Africa,
Malawi,Africa,Eastern Africa,
Malaysia,Asia,South-eastern Asia,
Maldives,Asia,Southern Asia,
Mali,Africa,Western Africa,
Malta,Europe,Southern Europe,
Marshall Islands,Oceania,Micronesia,
Martinique,Americas,Caribbean,
Mauritania,Africa,Western Africa,
Mauritius,Africa,Eastern Africa,
Mayotte,Africa,Eastern Africa,
Mexico,Americas,Central America,
Micronesia,Oceania,Micronesia,
Monaco,Europe,Western Europe,
Mongolia,Asia,Eastern Asia,
Montenegro,Europe,Southern Europe,
Montserrat,Americas,Caribbean,
Morocco,Africa,Northern Africa,
Mozambique,Africa,Eastern Africa,
Myanmar,Asia,South-eastern Asia,
Namibia,Africa,Southern Africa,
Nauru,Oceania,Micronesia,
Nepal,Asia,Southern Asia,
Netherlands,Europe,Western Europe,
New Caledonia,Oceania,Melanesia,
New Zealand,Oceania,Australia and New Zealand,
Nicaragua,Americas,Central America,
Niger,Africa,Western Africa,
Nigeria,Africa,Western Africa,
Niue,Oceania,Polynesia,
Norfolk Island,Oceania,Australia and New Zealand,
North Macedonia,Europe,Southern Europe,
Northern Mariana Islands,Oceania,Micronesia,
Norway,Europe,Northern Europe,
Oman,Asia,Western Asia,
Pakistan,Asia,Southern Asia,
Palau,Oceania,Micronesia,
Panama,Americas,Central America,
Papua New Guinea,Oceania,Melanesia,
Paraguay,Americas,South America,
Peru,Americas,South America,
Philippines,Asia,South-eastern Asia,
Pitcairn,Oceania,Polynesia,
Poland,Europe,Eastern Europe,
Portugal,Europe,Southern Europe,
Puerto Rico,Americas,Caribbean,
Qatar,Asia,Western Asia,
Republic of Korea,Asia,Eastern Asia,
Republic of Moldova,Europe,Eastern Europe,
Republic of the Congo,Africa,Middle Africa,
Reunion,Africa,Eastern Africa,
Romania,Europe,Eastern Europe,
Russian Federation,Europe,Eastern Europe,
Rwanda,Africa,Eastern Africa,
Saint Barthelemy,Americas,Caribbean,
Saint Helena, Ascension and Tristan da Cunha],Africa,
Saint Kitts and Nevis,Americas,Caribbean,
Saint Lucia,Americas,Caribbean,
Saint Martin,Americas,Caribbean,
Saint Pierre and Miquelon,Americas,Northern America,
Saint Vincent and the Grenadines,Americas,Caribbean,
Samoa,Oceania,Polynesia,
San Marino,Europe,Southern Europe,
Sao Tome and Principe,Africa,Middle Africa,
Saudi Arabia,Asia,Western Asia,
Senegal,Africa,Western Africa,
Serbia,Europe,Southern Europe,
Seychelles,Africa,Eastern Africa,
Sierra Leone,Africa,Western Africa,
Singapore,Asia,South-eastern Asia,
Sint Maarten,Americas,Caribbean,
Slovakia,Europe,Eastern Europe,
Slovenia,Europe,Southern Europe,
Solomon Islands,Oceania,Melanesia,
Somalia,Africa,Eastern Africa,
South Africa,Africa,Southern Africa,
South Georgia and the South Sandwich Islands,Americas,South America,
South Sudan,Africa,Eastern Africa,
Spain,Europe,Southern Europe,
Sri Lanka,Asia,Southern Asia,
State of Palestine,Asia,Western Asia,
Sudan,Africa,Northern Africa,
Suriname,Americas,South America,
Svalbard and Jan Mayen Islands,Europe,Northern Europe,
Sweden,Europe,Northern Europe,
Switzerland,Europe,Western Europe,
Syrian Arab Republic,Asia,Western Asia,
Tajikistan,Asia,Central Asia,
Thailand,Asia,South-eastern Asia,
Timor-Leste,Asia,South-eastern Asia,
Togo,Africa,Western Africa,
Tokelau,Oceania,Polynesia,
Tonga,Oceania,Polynesia,
Trinidad and Tobago,Americas,Caribbean,
Tunisia,Africa,Northern Africa,
Turkey,Asia,Western Asia,
Turkmenistan,Asia,Central Asia,
Turks and Caicos Islands,Americas,Caribbean,
Tuvalu,Oceania,Polynesia,
Uganda,Africa,Eastern Africa,
Ukraine,Europe,Eastern Europe,
United Arab Emirates,Asia,Western Asia,
United Kingdom,Europe,Northern Europe,
United Republic of Tanzania,Africa,Eastern Africa,
United States Minor Outlying Islands,Oceania,Micronesia,
United States of America,Americas,Northern America,
United States Virgin Islands,Americas,Caribbean,
Uruguay,Americas,South America,
Uzbekistan,Asia,Central Asia,
Vanuatu,Oceania,Melanesia,
Venezuela,Americas,South America,
Viet Nam,Asia,South-eastern Asia,
Wallis and Futuna Islands,Oceania,Polynesia,
Western Sahara,Africa,Northern Africa,
Yemen,Asia,Western Asia,
Zambia,Africa,Eastern Africa,
Zimbabwe,Africa,Eastern Africa,
